1,To Kill a Mockingbird, Harper Lee,amazon,20,1
2,The Little Prince, Antoine de Saint,amazon,30,2
3,Animal Farm, George Orwell,amazon,40,3
4,Little Women ,Louisa May Alcott,amazon,50,4
5,Of Mice and Men,John Steinbeck,amazon,60,5
6,Fahrenheit  ,Ray Bradbury,amazon,70,5
7,Hamlet, William Shakespeare,amazon,80,6
8,The Help, Kathryn Stockett ,amazon,90,7
9,The Cat in the Hat ,Dr.Seuss,amazon,12,2
10,The Color Purple ,Alice Walker,amazon,12,4
11,The Old Man and the Sea, Ernest Hemingway,amazon,44,1
12,Lolita, Vladimir Nabokov,amazon,77,34
13,The Stranger , Albert Camus,amazon,66,44
14,War and Peace ,Leo Tolstoy,amazon,44,34
15,A Clockwork Orange , Anthony Burgess,amazon,33,12
16,The Stand, Stephen King ,amazon,65,3
17,The Brothers Karamazov , Fyodor Dostoyevsky,amazon,66,5
18,A Little Princess , Frances Hodgson Burnett,amazon,22,2
19,Heidi, Johanna Spyri,amazon,23,6
20,Peter Pan, J.M. Barrie ,amazon,54,4
21,Tarzan,Edgar Rice Burroughs,amazon,78,5
22,The Road, Cormac McCarthy,amazon,65,3
23,House of Suns,Alastair Reynolds,amazon,44,2
24,Fuzzy Nation,John Scalzi , amazon,33,8
25,Freedom,Daniel Suarez ,amazon,32,5
26,Rainbows End,Vernor Vinge,amazon,77,3
27,Thirteen,Richard K. Morgan,amazon,54,1
28,The Speed of Dark , Elizabeth Moon,amazon,11,7
29,Calculating God , Robert J. Sawyer,amazon,67,4
30,Glasshouse ,Charles Stross ,amazon,55,8
